DATE;Close
2010-03-01;63047.0
2010-06-01;65145.0
2010-09-01;67705.0
2010-12-01;67383.0
2011-03-01;64620.0
2011-06-01;56495.0
2011-09-01;56875.0
2011-12-01;65812.0
2012-03-01;54490.0
2012-06-01;57061.0
2012-09-01;57475.0
2012-12-01;57424.0
2013-03-01;53506.0
2013-06-01;50008.0
2013-09-01;52482.0
2013-12-01;47094.0
2014-03-01;51239.0
2014-06-01;61288.0
2014-09-01;54664.0
2014-12-01;51583.0
2015-03-01;52760.0
2015-06-01;46626.0
2015-09-01;45120.0
2015-12-01;42794.0
2016-03-01;48472.0
2016-06-01;57901.0
2016-09-01;61906.0
2016-12-01;66662.0
2017-03-01;62711.0
2017-06-01;70835.0
2017-09-01;71971.0
2017-12-01;85481.0
2018-03-01;76754.0
2018-06-01;76678.0
2018-09-01;89504.0
2018-12-01;95584.0
2019-03-01;97030.0
2019-06-01;101135.0
2019-09-01;108233.0
2019-12-01;104172.0
2020-03-01;87403.0
2020-06-01;99369.0
2020-09-01;108888.0
2020-12-01;110035.0
2021-03-01;126216.0
2021-06-01;118781.0
2021-09-01;101915.0
2021-12-01;113142.0
2022-03-01;111351.0
2022-06-01;109523.0
2022-09-01;112486.0
2022-12-01;104932.0
2023-03-01;108335.0
2023-06-01;115742.0
2023-09-01;127331.0
2023-12-01;129020.0
2024-03-01;122098.0
2024-06-01;136004.0
2024-09-01;129713.0
